SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100200941,10054949,10054833,100,100,AF/IN,"",,1676,BF/IN,"",,1694
100200942,10054955,10003069,100,100,AF/IN,"",,1574,BF/IN,"",,1598
100200950,10054957,10011817,100,100,IN,"",,1597,IN,"",,1618
100200952,10001223,10002759,100,100,AF/IN,"",,1545,BF/IN,"",,1603
100200960,10054960,10054955,100,100,AF/IN,"",,1568,BF/IN,"",,1598
100200690,10054833,10054835,100,100,IN,January,5,1668,IN,"",,1694
100200930,10054833,10054834,100,100,AF/IN,"",,1667,BF/IN,"",,1694
100200943,10054955,10003066,100,100,AF/IN,"",,1576,BF/IN,"",,1598
100200944,10054840,10054833,100,100,AF/IN,"",,1679,BF/IN,"",,1694
100200945,10054833,10054841,100,100,AF/IN,"",,1680,BF/IN,"",,1694
100200953,10054956,10054958,100,100,BF,"",,1644,IN,"",,1644
100200955,10012346,10005741,67,67,AF/IN,"",,1581,BF/IN,"",,1645
100200959,10054961,10054951,100,100,AF/IN,"",,1583,BF/IN,"",,1597
100200946,10054833,10054842,100,100,AF/IN,"",,1683,BF/IN,"",,1694
100200947,10001223,10010606,100,100,AF/IN,"",,1545,BF/IN,"",,1608
100200948,10054955,10003068,100,100,AF/IN,"",,1575,BF/IN,"",,1598
100200949,10054952,10054954,74,75,BF,January,3,1642,AF,January,3,1642
100200961,10054960,10003066,100,100,AF/IN,"",,1576,BF/IN,"",,1624
100200951,10054957,10054951,100,100,BF,"",,1597,IN,"",,1618
100200954,10054956,10054959,85,91,BF,"",,1644,AF,"",,1644
100200962,10054963,10002342,100,100,BF,"",,1599,BF/IN,"",,1599
100200956,10054960,10003912,100,100,IN,May,4,1585,BF/IN,"",,1622
100200957,10002342,10002343,100,100,CA,"",,1565,BF/IN,"",,1599
100200958,10054958,10054959,100,100,BF,"",,1644,AF,"",,1647
100200963,10054960,10003069,100,100,AF/IN,"",,1574,BF/IN,"",,1624
100200964,10054963,10002343,100,100,AF/IN,"",,1610,BF/IN,"",,1610
100200965,10054965,10054955,100,100,BF,"",,1568,BF/IN,"",,1598
100200966,10054965,10003066,100,100,AF/IN,"",,1576,BF/IN,"",,1598
100200967,10054965,10054960,100,100,AF/IN,"",,1568,BF/IN,"",,1598
100200969,10054965,10003069,100,100,AF/IN,"",,1574,BF/IN,"",,1598
100200970,10054965,10003912,100,100,AF/IN,"",,1568,BF/IN,"",,1598
100200971,10054966,10012423,100,100,CA,"",,1580,CA,"",,1587
100200972,10054968,10003069,100,100,AF/IN,"",,1574,BF/IN,"",,1630
100200973,10054967,10054969,60,60,BF,"",,1641,AF,"",,1644
100200975,10009050,10006442,70,70,CA,"",,1653,CA,"",,1653
100200976,10054970,10013045,100,100,BF/IN,"",,1631,AF/IN,"",,1634
100200974,10054963,10011681,60,60,CA,"",,1604,BF/IN,"",,1610
100200977,10054971,10003066,100,100,AF/IN,"",,1580,BF/IN,"",,1603
100200978,10054972,10012117,80,80,BF/IN,"",,1580,AF/IN,"",,1587
100200979,10054972,10012492,100,100,BF,August,27,1578,AF,"",,1578
100200980,10054972,10003366,70,70,BF/IN,"",,1580,AF/IN,"",,1583
100200981,10054972,10011475,76,76,BF/IN,"",,1587,AF/IN,"",,1587
100200982,10054972,10005505,100,100,BF/IN,"",,1584,BF/IN,"",,1610
